date,open,high,low,close,volume
2023-05-03 18:30:00,620.0,640.0,618.0,639.0,12451410.0
2023-05-04 18:30:00,638.0,645.0,633.0,639.0,11600400.0
2023-05-07 18:30:00,639.5,669.5,639.0,666.0,22247350.0
2023-05-08 18:30:00,665.0,674.0,654.0,655.0,21307700.0
2023-05-09 18:30:00,659.0,666.5,652.5,663.0,8353210.0
2023-05-10 18:30:00,666.0,668.0,662.5,666.0,5674940.0
2023-05-11 18:30:00,665.0,673.0,660.5,671.5,9120780.0
2023-05-14 18:30:00,671.5,675.0,668.5,671.0,7390760.0
2023-05-15 18:30:00,672.0,685.0,670.0,678.5,12651330.0
2023-05-16 18:30:00,678.5,681.0,666.0,670.5,7407850.0
2023-05-17 18:30:00,676.0,683.0,674.5,679.0,11067180.0
2023-05-18 18:30:00,680.0,682.0,671.0,678.5,5928340.0
2023-05-21 18:30:00,678.5,682.0,676.0,679.0,4197920.0
2023-05-22 18:30:00,681.0,687.5,676.0,678.0,7901960.0
2023-05-23 18:30:00,677.0,685.0,673.0,678.5,5539360.0
2023-05-24 18:30:00,678.0,685.0,674.5,684.0,5302600.0
2023-05-25 18:30:00,685.0,692.0,684.0,690.5,6940730.0
2023-05-28 18:30:00,694.0,697.0,690.0,693.0,6407280.0
2023-05-29 18:30:00,695.0,702.0,693.0,700.5,8819230.0
2023-05-30 18:30:00,700.5,702.5,693.0,699.0,21476270.0
2023-05-31 18:30:00,702.5,706.0,695.0,704.0,5900260.0
2023-06-01 18:30:00,707.5,710.0,700.5,702.5,6642090.0
2023-06-04 18:30:00,707.0,709.0,701.0,704.0,5771620.0
2023-06-05 18:30:00,702.5,713.0,702.5,711.5,6905860.0
2023-06-06 18:30:00,712.0,714.0,706.0,708.0,5344830.0
2023-06-07 18:30:00,708.0,711.0,699.5,701.0,4553600.0
2023-06-08 18:30:00,701.0,708.0,701.0,704.0,4473610.0
2023-06-11 18:30:00,705.0,711.0,704.0,710.0,5132550.0
2023-06-12 18:30:00,710.0,720.0,710.0,717.0,8001340.0
2023-06-13 18:30:00,718.0,718.0,708.0,710.0,4015200.0
2023-06-14 18:30:00,709.5,714.0,705.5,713.0,4370180.0
2023-06-15 18:30:00,717.0,722.0,713.0,720.0,14148580.0
2023-06-18 18:30:00,721.0,740.0,720.0,738.5,11845900.0
2023-06-19 18:30:00,737.5,737.5,720.0,725.0,8638260.0
2023-06-20 18:30:00,727.5,728.5,718.0,720.5,5468040.0
2023-06-21 18:30:00,720.0,720.5,702.0,703.0,8271940.0
2023-06-22 18:30:00,702.0,705.5,695.5,699.0,8152260.0
2023-06-25 18:30:00,699.0,703.5,694.5,700.0,5635390.0
2023-06-26 18:30:00,703.0,703.0,695.5,702.0,7097890.0
2023-06-27 18:30:00,705.5,712.5,704.0,709.0,7097820.0
2023-06-29 18:30:00,710.0,719.5,709.0,716.0,8879080.0
2023-07-02 18:30:00,716.0,735.5,716.0,733.0,12092270.0
2023-07-03 18:30:00,765.0,792.0,761.0,786.0,41622080.0
2023-07-04 18:30:00,788.0,800.0,778.0,784.0,19786660.0
2023-07-05 18:30:00,777.5,782.5,773.5,776.5,10459840.0
2023-07-06 18:30:00,772.0,775.0,760.5,762.0,10949150.0
2023-07-09 18:30:00,762.0,763.0,743.0,753.0,14515180.0
